category,name,url,Image URL,Type,Base spirit,Ingredients,Preparation,Served,Standard drinkware,Standard garnish
Rum,Flaming volcano,https://en.wikipedia.org/wiki/Flaming_volcano,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Volcano_drink.jpg/250px-Volcano_drink.jpg,Mixed drink,Rum,"1 US fluid ounce (30 mL) light rum 1 oz. brandy 1 oz. overproof rum 4 US fluid ounces (120 mL) orange juice 2 US fluid ounces (60 mL) lemon juice, unsweetened 2 oz. orgeat syrup orgeat syrup","Combine ingredients except overproof rum with 2 scoops of crushed ice in a blender. Pour, and place small amount of overproof rum into volcano and carefully light.",Frozen: blended with ice,Special:volcano bowl,"pineapple and/or orange quarter slices, maraschino cherries"
Rum,Fluffy duck,https://en.wikipedia.org/wiki/Fluffy_duck,,,,,,,,
Rum,Grog,https://en.wikipedia.org/wiki/Grog,,,,,,,,
Rum,Gunfire,https://en.wikipedia.org/wiki/Gunfire_(drink),,Mixed drink,,1 cup of black tea1 shot of rum,Pour the tea into a cup. Pour the rum in and stir.,stirred,Mug,
Rum,Hoppel poppel,https://en.wikipedia.org/wiki/Hoppel_poppel_(beverage),,,,,,,,
Rum,Hot buttered rum,https://en.wikipedia.org/wiki/Hot_buttered_rum,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Hot_buttered_rum_-_close-up.jpg/250px-Hot_buttered_rum_-_close-up.jpg,Mixed drink,,"Rum,butter, hot water orcider, sweetener andspices",,,Coffee cup,
Rum,Hurricane,https://en.wikipedia.org/wiki/Hurricane_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Hurricane_at_Pat_O%27Brien%27s.JPG/250px-Hurricane_at_Pat_O%27Brien%27s.JPG,Cocktail,Rum,One part dark rum dark rum One part white rum white rum Half part over proofed over proofed rum [ clarify ] Passion fruit Passion fruit syrup Lemon juice,"Shake ingredients with ice, then pour into the glass and serve over ice.",On the rocks: poured over ice,Hurricane glass,
Rum,IBA Tiki,https://en.wikipedia.org/wiki/IBA_Tiki,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/IBA_Tiki.jpg/250px-IBA_Tiki.jpg,Cocktail,Rum,30 mL Havana Club Havana Club Profundo rum 30 mL Havana Club Smoky rum 15 mL amaretto 5 mL Frangelico 5 drops Luxardo maraschino 30 mL passion fruit passion fruit purée 90 mL pineapple juice pineapple juice 30 mL lime juice 1 slice of ginger,"Muddle the slice of ginger in a cocktail shaker. Pour remaining ingredients into the shaker, and shake with ice. Strain into a tiki glass over pebbled ice.",On the rocks,Highball glass,"Citruses, dehydrated pineapple slice"
Rum,Jagertee,https://en.wikipedia.org/wiki/Jagertee,,,,,,,,
Rum,Jungle Bird,https://en.wikipedia.org/wiki/Jungle_Bird,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Jungle_bird_cocktail.jpg/250px-Jungle_bird_cocktail.jpg,Cocktail,Rum,45 mL blackstrap rum blackstrap rum 22.5 mL Campari 45 mL pineapple juice pineapple juice 15 mL lime juice 15 mL demerara syrup demerara syrup,Shake with ice and strain into a rocks glass filled with ice.,On the rocks,Rocks glass,Pineapple wedge
Rum,Long Island iced tea,https://en.wikipedia.org/wiki/Long_Island_iced_tea,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Long_Island_Iced_Teas.jpg/250px-Long_Island_Iced_Teas.jpg,Cocktail,"Gin,Tequila,Vodka,Rum",15 mL Tequila 15 mL Vodka 15 mL White rum White rum 15 mL Cointreau 15 mL Gin 25 mL Lemon juice Lemon juice 30 mL simple syrup simple syrup Top with Cola,Add all ingredients into highball glass filled with ice. Stir gently. Optionally garnish with lemon slice.[1],On the rocks: poured over ice,Highball glass,lemon slice (optional)
